CrisisCenterKey,Year,Month,AnswerRate
CA140000,2013,1,1
CA619641,2013,1,0.9639
CO303000,2013,1,0.9339
CO719000,2013,1,0.6124
DE302000,2013,1,1
FL000407,2013,1,0.8966
FL230000,2013,1,0.9719999
FL250000,2013,1,0.7229
FL290000,2013,1,1
FL340000,2013,1,0.939
FL350000,2013,1,0.9635
FL360000,2013,1,0.8853
IN317000,2013,1,0.9294
IN480000,2013,1,0.4687
KY510000,2013,1,0.7837
LA520000,2013,1,0.9008
LA530000,2013,1,0.8315
MD560000,2013,1,0.9423
MI313000,2013,1,0.872
MI680000,2013,1,0.936
MI710000,2013,1,0.8686
MO314000,2013,1,0.9203
MO790000,2013,1,0.9806
MT406000,2013,1,0.9882
NE402000,2013,1,0.8529
NJ973000,2013,1,0.6671
NY0000RO,2013,1,0.9042
NY000322,2013,1,0.8659
NY116000,2013,1,0.8552
NY212614,2013,1,0.8124
NY518000,2013,1,0.5636
OH128000,2013,1,1
OR136000,2013,1,0.8747
PA000412,2013,1,0.7824
PA000455,2013,1,0.9412
SC843000,2013,1,0.8161
SD147000,2013,1,0.9554
TN000615,2013,1,0.7185
TN148000,2013,1,0.8707
TX156000,2013,1,0.9012001
TX159000,2013,1,0.667
WA167000,2013,1,0.9342
WA206000,2013,1,0.7543
WI262000,2013,1,0.8696
CA140000,2013,2,1
CA619641,2013,2,0.95
CO303000,2013,2,0.9327
CO719000,2013,2,0.5978
DE302000,2013,2,1
FL000407,2013,2,0.8776
FL230000,2013,2,0.922
FL250000,2013,2,0.6568
FL290000,2013,2,0.9897
FL340000,2013,2,0.9436
FL350000,2013,2,0.9371
FL360000,2013,2,0.892
IN317000,2013,2,0.915
IN480000,2013,2,0.7143
KY510000,2013,2,0.8169
LA520000,2013,2,0.9261
LA530000,2013,2,0.8372
MD560000,2013,2,0.9444
MI313000,2013,2,0.8979
MI680000,2013,2,0.8639
MI710000,2013,2,0.8378
MO314000,2013,2,0.9267
MO790000,2013,2,0.9772
MT406000,2013,2,0.9881
NE402000,2013,2,0.8695
NJ973000,2013,2,0.7738
NY0000RO,2013,2,0.8412001
NY000322,2013,2,0.828
NY116000,2013,2,0.8859
NY212614,2013,2,0.8072
NY518000,2013,2,0.7083
OH128000,2013,2,1
OR136000,2013,2,0.884
PA000412,2013,2,0.6993
PA000455,2013,2,0.9048001
SC843000,2013,2,0.9489
SD147000,2013,2,0.9643
TN000615,2013,2,0.6063
TN148000,2013,2,0.9094999
TX156000,2013,2,0.9023001
TX159000,2013,2,0.7553
WA167000,2013,2,0.9337
WA206000,2013,2,0.7858999
WI262000,2013,2,0.75
CA140000,2013,3,1
CA619641,2013,3,0.9544
CO303000,2013,3,0.9418
CO719000,2013,3,0.585
DE302000,2013,3,1
FL000407,2013,3,0.9363
FL230000,2013,3,0.929
FL250000,2013,3,0.7955
FL290000,2013,3,0.9763
FL340000,2013,3,0.9264
FL350000,2013,3,0.9448
FL360000,2013,3,0.8294
IN317000,2013,3,0.9103
IN480000,2013,3,0.7349
KY510000,2013,3,0.8077
LA520000,2013,3,0.958
LA530000,2013,3,0.8241
MD560000,2013,3,0.943
MI313000,2013,3,0.874
MI680000,2013,3,0.9353
MO314000,2013,3,0.9258
MO790000,2013,3,0.978
MT406000,2013,3,0.9921
NE402000,2013,3,0.8527
NJ973000,2013,3,0.7806
NY0000RO,2013,3,0.8893
NY000322,2013,3,0.8281
NY116000,2013,3,0.9267
NY212614,2013,3,0.7972
NY518000,2013,3,0.7692
OH128000,2013,3,0.9231
OR136000,2013,3,0.8909
PA000412,2013,3,0.7917
PA000455,2013,3,0.8065
SC843000,2013,3,0.9452
SD147000,2013,3,0.9643
TN000615,2013,3,0.5754
TN148000,2013,3,0.8798
TX156000,2013,3,0.9091001
TX159000,2013,3,0.7123001
WA167000,2013,3,0.928
WA206000,2013,3,0.8189
WI262000,2013,3,0.7174
CA140000,2013,4,0.9972
CA619641,2013,4,0.9187
CO303000,2013,4,0.9384
CO719000,2013,4,0.9922
DE302000,2013,4,1
FL000407,2013,4,0.9201
FL230000,2013,4,0.929
FL250000,2013,4,0.6593
FL290000,2013,4,0.982
FL340000,2013,4,0.9377
FL350000,2013,4,0.9286
FL360000,2013,4,0.7964
IN317000,2013,4,0.913
IN480000,2013,4,0.7527
KY510000,2013,4,0.8111
LA520000,2013,4,0.9156
LA530000,2013,4,0.693
MD560000,2013,4,0.9119999
MI313000,2013,4,0.8667
MI680000,2013,4,0.9023001
MO314000,2013,4,0.9467
MO790000,2013,4,0.951
MT406000,2013,4,1
NE402000,2013,4,0.8567
NJ973000,2013,4,0.7333
NY0000RO,2013,4,0.8602
NY116000,2013,4,0.9062999
NY212614,2013,4,0.853
NY518000,2013,4,0.81
OH128000,2013,4,1
OR136000,2013,4,0.8924
PA000412,2013,4,0.7712
PA000455,2013,4,1
SC843000,2013,4,0.9236
SD147000,2013,4,0.981
TN000615,2013,4,0.39
TN148000,2013,4,0.9008999
TX156000,2013,4,0.926
TX159000,2013,4,0.7573
WA167000,2013,4,0.9217
WA206000,2013,4,0.9224
WI262000,2013,4,0.89
CA140000,2013,5,0.9992
CA619641,2013,5,0.9218
CO303000,2013,5,0.9422
CO719000,2013,5,0.9966
DE302000,2013,5,0.9559
FL000407,2013,5,0.8859
FL230000,2013,5,0.955
FL250000,2013,5,0.6325
FL290000,2013,5,0.989
FL340000,2013,5,0.9366
FL350000,2013,5,0.9186
FL360000,2013,5,0.8286
IN317000,2013,5,0.915
IN480000,2013,5,0.7819999
KY510000,2013,5,0.8234
LA520000,2013,5,0.9407
LA530000,2013,5,0.7785
MD560000,2013,5,0.886
MI313000,2013,5,0.8682
MI680000,2013,5,0.8808
MI710000,2013,5,0.826
MO314000,2013,5,0.9291
MO790000,2013,5,0.95
MT406000,2013,5,0.9864
NE402000,2013,5,0.7963
NJ000732,2013,5,0.9359
NJ973000,2013,5,0.5902
NY0000RO,2013,5,0.8961
NY116000,2013,5,0.9341
NY212614,2013,5,0.853
NY518000,2013,5,0.53
OH128000,2013,5,1
OR136000,2013,5,0.8909
PA000412,2013,5,0.7927
PA000455,2013,5,0.9231
SC843000,2013,5,0.9374
SD147000,2013,5,0.94
TN000615,2013,5,0.39
TN148000,2013,5,0.8758
TX156000,2013,5,0.882
TX159000,2013,5,0.6681
WA167000,2013,5,0.927
WA206000,2013,5,0.9585
WI262000,2013,5,0.92
CA140000,2013,6,1
CA619641,2013,6,0.9294
CO303000,2013,6,0.9482
CO719000,2013,6,0.9853
DE302000,2013,6,0.9394
FL000407,2013,6,0.9029
FL230000,2013,6,0.932
FL250000,2013,6,0.6667
FL290000,2013,6,0.952
FL340000,2013,6,0.9143
FL350000,2013,6,0.9181
FL360000,2013,6,0.7747
IN317000,2013,6,0.9080001
IN480000,2013,6,0.7586
KY510000,2013,6,0.3088
LA520000,2013,6,0.9344
LA530000,2013,6,0.6698
MD560000,2013,6,0.946
MI313000,2013,6,0.8786
MI680000,2013,6,0.8767
MI710000,2013,6,0.85
MO314000,2013,6,0.9362
MO790000,2013,6,0.95
MT406000,2013,6,0.9886
NE402000,2013,6,0.8126
NJ000732,2013,6,0.9275
NJ973000,2013,6,0.785
NY0000RO,2013,6,0.9048001
NY116000,2013,6,0.8387091
NY212614,2013,6,0.867
NY518000,2013,6,0.46
OH128000,2013,6,0.875
OR136000,2013,6,0.895
PA000412,2013,6,0.7675
PA000455,2013,6,0.9524
SC843000,2013,6,0.9312
SD147000,2013,6,0.929
TN000615,2013,6,0.41
TN148000,2013,6,0.9046
TX156000,2013,6,0.876
TX159000,2013,6,0.6544999
WA167000,2013,6,0.9552
WA206000,2013,6,0.9426
WI262000,2013,6,0.91
CA140000,2013,7,0.9993
CA619641,2013,7,0.936
CO303000,2013,7,0.9423
CO719000,2013,7,0.9907
DE302000,2013,7,0.9526
FL000407,2013,7,0.9367
FL230000,2013,7,0.9274
FL250000,2013,7,0.625
FL290000,2013,7,0.9626999
FL340000,2013,7,0.8003
FL350000,2013,7,0.9359
FL360000,2013,7,0.8627
IN317000,2013,7,0.8848
IN480000,2013,7,0.8194
KY510000,2013,7,0.8455001
LA520000,2013,7,0.9302
LA530000,2013,7,0.764
MD560000,2013,7,0.9188
MI313000,2013,7,0.8871
MI680000,2013,7,0.9236
MI710000,2013,7,0.822
MO314000,2013,7,0.9399
MO790000,2013,7,0.9648001
MT406000,2013,7,0.9911
NE402000,2013,7,0.8173
NJ973000,2013,7,0.7407
NY0000RO,2013,7,0.8807
NY116000,2013,7,0.9396
NY212614,2013,7,0.885
NY518000,2013,7,0.4054
OH128000,2013,7,1
OR136000,2013,7,0.6995
PA000412,2013,7,0.8796
PA000455,2013,7,0.9302
SC843000,2013,7,0.792
SD147000,2013,7,0.9586
TN000615,2013,7,0.4732
TN148000,2013,7,0.8764
TX156000,2013,7,0.9012001
TX159000,2013,7,0.689
WA167000,2013,7,0.9262
WA206000,2013,7,0.7844
CA140000,2013,8,1
CA619641,2013,8,0.9371
CO303000,2013,8,0.9543
CO719000,2013,8,0.9834
DE302000,2013,8,0.9682
FL000407,2013,8,0.8879
FL230000,2013,8,0.9013
FL250000,2013,8,0.6791
FL290000,2013,8,0.9705001
FL340000,2013,8,0.7957
FL350000,2013,8,0.9068
FL360000,2013,8,0.8622
IN317000,2013,8,0.8659
IN480000,2013,8,0.7143
KY510000,2013,8,0.7959
LA520000,2013,8,0.9101999
LA530000,2013,8,0.74
MD560000,2013,8,0.9592
MI313000,2013,8,0.8524
MI680000,2013,8,0.8814
MI710000,2013,8,0.8419999
MO314000,2013,8,0.9397
MO790000,2013,8,0.9692
MT406000,2013,8,0.9774
NE402000,2013,8,0.8149
NJ973000,2013,8,0.6495
NY0000RO,2013,8,0.8779
NY116000,2013,8,0.9056
NY212614,2013,8,0.8554
NY518000,2013,8,0.7237
OH128000,2013,8,1
OR136000,2013,8,0.687
PA000412,2013,8,0.874
PA000455,2013,8,0.973
SC843000,2013,8,0.7602
SD147000,2013,8,0.9475
TN000615,2013,8,0.4912
TN148000,2013,8,0.8966
TX156000,2013,8,0.8623
TX159000,2013,8,0.6745
WA167000,2013,8,0.9455
WA206000,2013,8,0.7356
CA140000,2013,9,1
CA619641,2013,9,0.9372
CO303000,2013,9,0.9377
CO719000,2013,9,0.9898
DE302000,2013,9,0.9484
FL000407,2013,9,0.8605
FL230000,2013,9,0.9080001
FL250000,2013,9,0.6422
FL290000,2013,9,0.9513
FL340000,2013,9,0.8676
FL350000,2013,9,0.9158
FL360000,2013,9,0.8896
IN317000,2013,9,0.8646
IN480000,2013,9,0.8167
KY510000,2013,9,0.8126
LA520000,2013,9,0.9466
LA530000,2013,9,0.83
MD560000,2013,9,0.9099
MI313000,2013,9,0.8797
MI680000,2013,9,0.8987
MI710000,2013,9,0.819
MO314000,2013,9,0.9391
MO790000,2013,9,0.9635
MT406000,2013,9,0.9922
NE402000,2013,9,0.8016
NJ973000,2013,9,0.631
NY0000RO,2013,9,0.861
NY116000,2013,9,0.9452
NY212614,2013,9,0.8275
NY518000,2013,9,0.5333
OH128000,2013,9,0.9167
OR136000,2013,9,0.7985
PA000412,2013,9,0.9496
PA000455,2013,9,0.9231
SC843000,2013,9,0.7398
SD147000,2013,9,0.9929
TN000615,2013,9,0.6141
TN148000,2013,9,0.899
TX156000,2013,9,0.8407
TX159000,2013,9,0.8839
WA167000,2013,9,0.9297
WA206000,2013,9,0.7068
CA140000,2013,10,0.9986
CA619641,2013,10,0.9547
CO303000,2013,10,0.9519
CO719000,2013,10,0.9886
DE302000,2013,10,1
FL000407,2013,10,0.9067
FL230000,2013,10,0.965
FL250000,2013,10,0.6695
FL290000,2013,10,0.976
FL340000,2013,10,0.8331
FL350000,2013,10,0.9658
FL360000,2013,10,0.8744
IN317000,2013,10,0.9019001
IN480000,2013,10,0.6118
KY510000,2013,10,0.8287
LA520000,2013,10,0.9264
LA530000,2013,10,0.8753
MD560000,2013,10,0.9348
MI313000,2013,10,0.8668
MI680000,2013,10,0.929
MI710000,2013,10,0.7812999
MO314000,2013,10,0.9201
MO790000,2013,10,0.9638
MT406000,2013,10,0.983
NE402000,2013,10,0.8533
NJ973000,2013,10,0.631
NY0000RO,2013,10,0.8429
NY116000,2013,10,0.9433
NY212614,2013,10,0.8143
OH128000,2013,10,0.8889
OR136000,2013,10,0.8916
PA000412,2013,10,0.7221
PA000455,2013,10,0.9355
SC843000,2013,10,0.6748
SD147000,2013,10,0.9444
TN000615,2013,10,0.6768
TN148000,2013,10,0.9115
TX156000,2013,10,0.863
TX159000,2013,10,0.6281
WA167000,2013,10,0.9267
WA206000,2013,10,0.7758999
CA140000,2013,11,0.9993
CA619641,2013,11,0.9531
CO303000,2013,11,0.9737999
CO719000,2013,11,0.9932
DE302000,2013,11,1
FL000407,2013,11,0.8951
FL230000,2013,11,0.9619
FL250000,2013,11,0.7193
FL290000,2013,11,0.9913
FL340000,2013,11,0.8158
FL350000,2013,11,0.9402
FL360000,2013,11,0.8782
GA390000,2013,11,0.8478
IN317000,2013,11,0.8723
IN480000,2013,11,0.6
KY510000,2013,11,0.8104
LA520000,2013,11,0.942
LA530000,2013,11,0.8353
MD560000,2013,11,0.9069
MI313000,2013,11,0.8354
MI680000,2013,11,0.9506
MI710000,2013,11,0.7977
MO314000,2013,11,0.9133
MO790000,2013,11,0.9667
MT406000,2013,11,0.9667
NE402000,2013,11,0.8568
NJ973000,2013,11,0.6667
NY0000RO,2013,11,0.888
NY116000,2013,11,0.9375
NY212614,2013,11,0.8586
OH128000,2013,11,0.8125
OR136000,2013,11,0.8679
PA000412,2013,11,0.7919
PA000455,2013,11,1
SC843000,2013,11,0.63622
SD147000,2013,11,0.9638
TN000615,2013,11,0.6234
TN148000,2013,11,0.9317
TX156000,2013,11,0.916
TX159000,2013,11,0.651
WA167000,2013,11,0.9311
WA206000,2013,11,0.7722
CA140000,2013,12,1
CA619641,2013,12,0.9698001
CO303000,2013,12,0.9595
CO719000,2013,12,0.9893
DE302000,2013,12,1
FL000407,2013,12,0.8586
FL230000,2013,12,0.8969
FL250000,2013,12,0.58
FL290000,2013,12,0.9654
FL340000,2013,12,0.8285
FL350000,2013,12,0.9208
FL360000,2013,12,0.8724
GA390000,2013,12,0.8101
IN317000,2013,12,0.883
IN480000,2013,12,0.7922
KY510000,2013,12,0.7888
LA520000,2013,12,0.9207
LA530000,2013,12,0.8611
MD560000,2013,12,0.9014
MI313000,2013,12,0.8416001
MI680000,2013,12,0.9152
MI710000,2013,12,0.8255
MO314000,2013,12,0.877
MO790000,2013,12,0.9618
MT406000,2013,12,0.9877
NE402000,2013,12,0.8464
NJ973000,2013,12,0.514
NY0000RO,2013,12,0.8742
NY116000,2013,12,0.8827
NY212614,2013,12,0.8282
OH128000,2013,12,1
OR136000,2013,12,0.8363
PA000412,2013,12,0.7786
PA000455,2013,12,1
SC843000,2013,12,0.6535
SD147000,2013,12,0.9517
TN000615,2013,12,0.492
TN148000,2013,12,0.8994
TX156000,2013,12,0.8705
TX159000,2013,12,0.6296
WA167000,2013,12,0.9503
WA206000,2013,12,0.7686
CA140000,2014,1,0.9993
CA619641,2014,1,0.9630001
CO303000,2014,1,0.9788
CO719000,2014,1,0.9828
DE302000,2014,1,0.9767
FL000407,2014,1,0.8393
FL230000,2014,1,0.9365
FL250000,2014,1,0.5532
FL290000,2014,1,0.9958
FL340000,2014,1,0.8131
FL350000,2014,1,0.9585
FL360000,2014,1,0.8605
GA390000,2014,1,0.7589
IN317000,2014,1,0.9012001
IN480000,2014,1,0.6071
KY510000,2014,1,0.7086
LA520000,2014,1,0.947
LA530000,2014,1,0.9335
MD560000,2014,1,0.901
MI313000,2014,1,0.9003
MI680000,2014,1,0.883
MI710000,2014,1,0.8123
MO314000,2014,1,0.9223
MO790000,2014,1,0.9736
MT406000,2014,1,1
NE402000,2014,1,0.8841
NJ000732,2014,1,0.9361
NJ973000,2014,1,0.619
NY0000RO,2014,1,0.8243
NY116000,2014,1,0.8771
NY212614,2014,1,0.8358
OH128000,2014,1,0.7143
OR136000,2014,1,0.8681
PA000412,2014,1,0.6109
PA000455,2014,1,1
SC843000,2014,1,0.7175
SD147000,2014,1,0.9302
TN000615,2014,1,0.5895
TN148000,2014,1,0.9358
TX156000,2014,1,0.8443
TX159000,2014,1,0.6698
WA167000,2014,1,0.9592
WA206000,2014,1,0.7556
CA140000,2014,2,1
CA619641,2014,2,0.9533
CO303000,2014,2,0.9696
CO719000,2014,2,0.9776
DE302000,2014,2,0.9878
FL000407,2014,2,0.9004
FL230000,2014,2,0.9857
FL250000,2014,2,0.6047
FL290000,2014,2,1
FL340000,2014,2,0.815
FL350000,2014,2,0.9179
FL360000,2014,2,0.8157
GA390000,2014,2,0.7722
IN317000,2014,2,0.9016001
IN480000,2014,2,0.5526
KY510000,2014,2,0.7636
LA520000,2014,2,0.9482
LA530000,2014,2,0.881
MD560000,2014,2,0.8464
MI313000,2014,2,0.8806
MI680000,2014,2,0.9371
MI710000,2014,2,0.777
MO314000,2014,2,0.9148
MO790000,2014,2,0.9648001
MT406000,2014,2,1
NE402000,2014,2,0.8987
NJ000732,2014,2,0.9211
NJ973000,2014,2,0.6567
NY0000RO,2014,2,0.8578
NY116000,2014,2,0.9167
NY212614,2014,2,0.805
NY518000,2014,2,0.675
OH128000,2014,2,1
OR136000,2014,2,0.9142
PA000412,2014,2,0.5297
PA000455,2014,2,0.875
SC843000,2014,2,0.619
SD147000,2014,2,0.875
TN000615,2014,2,0.6517
TN148000,2014,2,0.9431
TX156000,2014,2,0.8524
TX159000,2014,2,0.6362
WA167000,2014,2,0.9326
WA206000,2014,2,0.7176
CA140000,2014,3,1
CA619641,2014,3,0.9552
CO303000,2014,3,0.9656
CO719000,2014,3,0.9785
DE302000,2014,3,0.9733
FL000407,2014,3,0.9142
FL230000,2014,3,0.9398
FL250000,2014,3,0.681
FL290000,2014,3,1
FL340000,2014,3,0.8159
FL350000,2014,3,0.9159
FL360000,2014,3,0.8764
GA390000,2014,3,0.8166
IN317000,2014,3,0.9058999
IN480000,2014,3,0.7373
KY510000,2014,3,0.8119
LA520000,2014,3,0.9264
LA530000,2014,3,0.8685
MD560000,2014,3,0.9462
MI313000,2014,3,0.8875
MI680000,2014,3,0.9146
MI710000,2014,3,0.789
MO314000,2014,3,0.8782
MO790000,2014,3,0.9686
MT406000,2014,3,0.9951
NE402000,2014,3,0.8868
NJ000732,2014,3,0.9219
NJ973000,2014,3,0.6232
NY0000RO,2014,3,0.8802
NY116000,2014,3,0.9091001
NY212614,2014,3,0.7847
NY518000,2014,3,0.6897
OH128000,2014,3,1
OR136000,2014,3,0.9137
PA000412,2014,3,0.6356
PA000455,2014,3,0.9474
SC843000,2014,3,0.7307
SD147000,2014,3,0.9224
TN000615,2014,3,0.6666
TN148000,2014,3,0.9008
TX156000,2014,3,0.8755
TX159000,2014,3,0.6156
WA167000,2014,3,0.9427
WA206000,2014,3,0.684
FL000407,2014,4,0.905
MO314000,2014,4,0.919
NY0000RO,2014,4,0.8364
NY116000,2014,4,0.91
MO314000,2014,5,0.8892
NY0000RO,2014,5,0.8275
NY116000,2014,5,0.8983
