CrisisCenterKey,Year,Month
AZ480000,2013,4
AZ480000,2013,5
AZ480000,2013,6
AZ480000,2013,7
AZ480000,2013,8
AZ480000,2013,9
AZ480000,2013,10
AZ480000,2013,11
AZ480000,2013,12
AZ480000,2014,1
AZ480000,2014,2
AZ480000,2014,3
CA140000,2013,4
CA140000,2013,5
CA140000,2013,6
CA140000,2013,7
CA140000,2013,8
CA140000,2013,9
CA140000,2013,10
CA140000,2013,11
CA140000,2013,12
CA140000,2014,1
CA140000,2014,2
CA140000,2014,3
CA619641,2013,4
CA619641,2013,5
CA619641,2013,6
CA619641,2013,7
CA619641,2013,8
CA619641,2013,9
CA619641,2013,10
CA619641,2013,11
CA619641,2013,12
CA619641,2014,1
CA619641,2014,2
CA619641,2014,3
CO303000,2013,4
CO303000,2013,5
CO303000,2013,6
CO303000,2013,7
CO303000,2013,8
CO303000,2013,9
CO303000,2013,10
CO303000,2013,11
CO303000,2013,12
CO303000,2014,1
CO303000,2014,2
CO303000,2014,3
CO719000,2013,4
CO719000,2013,5
CO719000,2013,6
CO719000,2013,7
CO719000,2013,8
CO719000,2013,9
CO719000,2013,10
CO719000,2013,11
CO719000,2013,12
CO719000,2014,1
CO719000,2014,2
CO719000,2014,3
CT210000,2013,4
CT210000,2013,5
CT210000,2013,6
CT210000,2013,7
CT210000,2013,8
CT210000,2013,9
CT210000,2013,10
CT210000,2013,11
CT210000,2013,12
CT210000,2014,1
CT210000,2014,2
CT210000,2014,3
DE302000,2013,4
DE302000,2013,5
DE302000,2013,6
DE302000,2013,7
DE302000,2013,8
DE302000,2013,9
DE302000,2013,10
DE302000,2013,11
DE302000,2013,12
DE302000,2014,1
DE302000,2014,2
DE302000,2014,3
FL000407,2013,4
FL000407,2013,5
FL000407,2013,6
FL000407,2013,7
FL000407,2013,8
FL000407,2013,9
FL000407,2013,10
FL000407,2013,11
FL000407,2013,12
FL000407,2014,1
FL000407,2014,2
FL000407,2014,3
FL230000,2013,4
FL230000,2013,5
FL230000,2013,6
FL230000,2013,7
FL230000,2013,8
FL230000,2013,9
FL230000,2013,10
FL230000,2013,11
FL230000,2013,12
FL230000,2014,1
FL230000,2014,2
FL230000,2014,3
FL250000,2013,4
FL250000,2013,5
FL250000,2013,6
FL250000,2013,7
FL250000,2013,8
FL250000,2013,9
FL250000,2013,10
FL250000,2013,11
FL250000,2013,12
FL250000,2014,1
FL250000,2014,2
FL250000,2014,3
FL290000,2013,4
FL290000,2013,5
FL290000,2013,6
FL290000,2013,7
FL290000,2013,8
FL290000,2013,9
FL290000,2013,10
FL290000,2013,11
FL290000,2013,12
FL290000,2014,1
FL290000,2014,2
FL290000,2014,3
FL340000,2013,4
FL340000,2013,5
FL340000,2013,6
FL340000,2013,7
FL340000,2013,8
FL340000,2013,9
FL340000,2013,10
FL340000,2013,11
FL340000,2013,12
FL340000,2014,1
FL340000,2014,2
FL340000,2014,3
FL350000,2013,4
FL350000,2013,5
FL350000,2013,6
FL350000,2013,7
FL350000,2013,8
FL350000,2013,9
FL350000,2013,10
FL350000,2013,11
FL350000,2013,12
FL350000,2014,1
FL350000,2014,2
FL350000,2014,3
FL360000,2013,4
FL360000,2013,5
FL360000,2013,6
FL360000,2013,7
FL360000,2013,8
FL360000,2013,9
FL360000,2013,10
FL360000,2013,11
FL360000,2013,12
FL360000,2014,1
FL360000,2014,2
FL360000,2014,3
GA390000,2013,4
GA390000,2013,5
GA390000,2013,6
